age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
70,Without-pay,1346283,Prof-school,9,Married-AF-spouse,Machine-op-inspct,Wife,Other,Female,2105,4810,66,Japan,<=50K
79,Never-worked,112324,Preschool,16,Separated,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,68104,947,61,England,>50K
34,Self-emp-not-inc,243536,1st-4th,13,Married-AF-spouse,Handlers-cleaners,Husband,Other,Female,58408,3738,77,England,<=50K
60,Without-pay,1340567,Preschool,12,Married-AF-spouse,Priv-house-serv,Unmarried,Other,Male,37679,2731,51,Puerto-Rico,>50K
50,Self-emp-not-inc,46155,Masters,11,Married-civ-spouse,Transport-moving,Own-child,Black,Male,99096,4007,50,England,<=50K
78,Without-pay,361815,Prof-school,9,Married-civ-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Male,79731,869,19,Mexico,<=50K
30,Private,480494,HS-grad,1,Married-spouse-absent,Prof-specialty,Wife,Amer-Indian-Eskimo,Male,65131,93,1,Puerto-Rico,<=50K
64,Without-pay,169381,Doctorate,11,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Female,64280,2987,40,Germany,>50K
31,Local-gov,1200267,Assoc-acdm,3,Never-married,Machine-op-inspct,Own-child,Other,Female,15762,4655,32,Japan,>50K
88,Self-emp-inc,463324,Doctorate,9,Divorced,Prof-specialty,Wife,White,Male,58703,1775,22,Japan,>50K
78,Never-worked,54707,Assoc-acdm,11,Never-married,Priv-house-serv,Other-relative,Other,Male,81434,2260,93,Canada,>50K
56,Local-gov,957841,11th,2,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,63079,435,66,Canada,>50K
69,Self-emp-inc,766788,Preschool,12,Divorced,Prof-specialty,Other-relative,Other,Female,21577,4947,40,Germany,<=50K
40,Federal-gov,373299,7th-8th,4,Never-married,Handlers-cleaners,Husband,White,Male,1214,4300,38,Philippines,<=50K
42,Local-gov,1227068,1st-4th,4,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,86339,3144,48,India,<=50K
76,Federal-gov,190102,Masters,2,Divorced,Other-service,Own-child,Asian-Pac-Islander,Male,48114,3587,55,Philippines,>50K
57,Self-emp-not-inc,414274,Doctorate,15,Married-civ-spouse,Sales,Not-in-family,Other,Male,89234,76,75,India,>50K
45,Self-emp-not-inc,237285,Assoc-voc,3,Never-married,Sales,Husband,Asian-Pac-Islander,Female,63230,815,81,Puerto-Rico,<=50K
31,Private,1406980,Preschool,13,Divorced,Prof-specialty,Husband,Black,Male,32980,767,55,Germany,>50K
61,Without-pay,1228052,Bachelors,3,Married-spouse-absent,Farming-fishing,Husband,Other,Male,67194,3685,51,India,>50K
81,Local-gov,778842,5th-6th,1,Married-AF-spouse,Tech-support,Unmarried,Other,Female,77806,105,60,Canada,<=50K
87,Federal-gov,1042788,10th,6,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Female,37792,3916,8,Canada,<=50K
25,Self-emp-inc,1229504,Assoc-voc,16,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,45807,2873,86,Cambodia,>50K
17,Self-emp-not-inc,870610,Prof-school,8,Married-spouse-absent,Farming-fishing,Not-in-family,White,Female,22301,3346,68,India,>50K
24,Without-pay,316141,Prof-school,12,Married-AF-spouse,Protective-serv,Not-in-family,Black,Female,5141,3148,75,Germany,<=50K
79,Self-emp-not-inc,963115,Doctorate,3,Never-married,Sales,Other-relative,White,Male,13777,3148,72,United-States,>50K
27,Self-emp-inc,1317076,10th,5,Separated,Farming-fishing,Husband,Other,Male,38346,1465,9,Puerto-Rico,<=50K
24,Without-pay,1200887,Some-college,1,Never-married,Tech-support,Husband,Asian-Pac-Islander,Male,54703,2587,90,England,<=50K
51,Without-pay,265546,HS-grad,10,Married-AF-spouse,Adm-clerical,Husband,Other,Female,94977,244,2,England,<=50K
51,Federal-gov,1265309,1st-4th,7,Widowed,Sales,Not-in-family,Other,Male,47819,2625,80,India,>50K
49,Federal-gov,671233,Assoc-acdm,10,Married-spouse-absent,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Female,28469,3849,95,Philippines,<=50K
21,Local-gov,1061592,12th,13,Never-married,Priv-house-serv,Wife,Amer-Indian-Eskimo,Male,3845,1405,70,Puerto-Rico,<=50K
57,Local-gov,166470,5th-6th,1,Divorced,Armed-Forces,Unmarried,Other,Male,23290,981,85,Japan,>50K
44,State-gov,664318,Masters,12,Married-spouse-absent,Other-service,Own-child,Asian-Pac-Islander,Female,30699,3808,90,Mexico,<=50K
23,Never-worked,1387223,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Wife,Other,Female,44252,141,59,England,>50K
89,State-gov,1075146,Preschool,9,Married-AF-spouse,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,Male,98682,892,19,Canada,>50K
88,Private,350929,Masters,8,Never-married,Other-service,Unmarried,Asian-Pac-Islander,Male,3293,2399,28,Puerto-Rico,>50K
28,Self-emp-not-inc,99141,Prof-school,7,Married-spouse-absent,Armed-Forces,Unmarried,Other,Male,57089,4640,72,Philippines,<=50K
50,Local-gov,32115,7th-8th,10,Never-married,Machine-op-inspct,Unmarried,Black,Male,16608,2960,14,Germany,<=50K
49,Federal-gov,1107638,11th,15,Married-spouse-absent,Machine-op-inspct,Husband,Black,Male,66273,2199,24,Philippines,>50K
64,Self-emp-inc,829343,Bachelors,7,Divorced,Transport-moving,Own-child,Other,Female,16619,1469,44,Puerto-Rico,>50K
39,Federal-gov,1363276,HS-grad,5,Married-civ-spouse,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,78006,2700,56,Japan,>50K
78,Self-emp-not-inc,410479,7th-8th,5,Married-civ-spouse,Tech-support,Not-in-family,Other,Female,87908,3005,90,England,<=50K
53,State-gov,850185,HS-grad,11,Widowed,Farming-fishing,Unmarried,Other,Female,81653,4858,95,Canada,>50K
60,Federal-gov,417686,Some-college,13,Married-spouse-absent,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,14779,3374,51,United-States,>50K
51,Never-worked,1190439,12th,5,Never-married,Machine-op-inspct,Own-child,Black,Male,51040,4719,32,Germany,>50K
81,Private,816657,Doctorate,1,Married-civ-spouse,Tech-support,Own-child,Amer-Indian-Eskimo,Female,94830,655,50,Canada,<=50K
63,Self-emp-not-inc,667296,Doctorate,8,Married-AF-spouse,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Male,56325,2768,41,Japan,>50K
19,State-gov,1045799,Prof-school,12,Married-civ-spouse,Machine-op-inspct,Other-relative,Other,Female,21630,42,66,Mexico,<=50K
17,Never-worked,820101,11th,11,Separated,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,12178,2311,25,Japan,<=50K
21,Self-emp-inc,1064257,10th,1,Separated,Craft-repair,Own-child,Black,Male,19935,1660,61,Japan,>50K
30,State-gov,68320,1st-4th,4,Married-civ-spouse,Sales,Own-child,Amer-Indian-Eskimo,Male,47258,4691,66,England,>50K
43,Without-pay,984918,10th,15,Married-spouse-absent,Prof-specialty,Own-child,Black,Female,22784,2224,42,Puerto-Rico,>50K
25,Never-worked,516758,7th-8th,9,Widowed,Priv-house-serv,Other-relative,Amer-Indian-Eskimo,Female,63722,2110,65,Puerto-Rico,<=50K
31,Never-worked,1215225,HS-grad,14,Married-civ-spouse,Transport-moving,Unmarried,Black,Female,23027,957,36,Canada,<=50K
58,Private,1193930,Assoc-acdm,9,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,96544,560,76,Mexico,<=50K
67,Self-emp-not-inc,632297,Some-college,5,Never-married,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Male,57853,1330,9,Mexico,>50K
79,Self-emp-inc,468625,Assoc-acdm,4,Widowed,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,67359,1312,36,Philippines,<=50K
68,Private,48625,11th,3,Divorced,Machine-op-inspct,Husband,Black,Male,72388,1821,92,United-States,>50K
20,State-gov,756400,1st-4th,3,Widowed,Handlers-cleaners,Other-relative,Black,Male,78608,3002,38,Japan,>50K
39,Private,1354809,1st-4th,12,Divorced,Armed-Forces,Own-child,Black,Female,76669,3403,33,United-States,>50K
31,Never-worked,1105063,7th-8th,5,Never-married,Protective-serv,Unmarried,White,Male,15111,4945,42,Cambodia,<=50K
59,Self-emp-not-inc,1296647,Masters,10,Never-married,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,32312,2651,61,India,<=50K
45,Local-gov,508011,Some-college,1,Separated,Craft-repair,Unmarried,Black,Male,24161,1814,46,Japan,<=50K
52,Private,1380858,5th-6th,5,Married-spouse-absent,Other-service,Wife,White,Female,67313,1741,86,United-States,>50K
29,Without-pay,1242471,1st-4th,6,Divorced,Farming-fishing,Own-child,Asian-Pac-Islander,Female,50374,4701,89,England,<=50K
48,Private,450424,1st-4th,16,Separated,Machine-op-inspct,Wife,Black,Female,24014,3808,61,India,<=50K
87,State-gov,336205,7th-8th,7,Divorced,Armed-Forces,Own-child,Black,Male,80308,2877,18,Mexico,>50K
75,State-gov,968163,Prof-school,12,Separated,Prof-specialty,Other-relative,White,Female,46389,3270,70,Japan,>50K
44,Self-emp-inc,1067328,9th,16,Never-married,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,18161,4083,82,Japan,<=50K
82,State-gov,121376,Some-college,9,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,7490,745,80,Mexico,>50K
58,Federal-gov,1493682,Assoc-acdm,3,Married-AF-spouse,Farming-fishing,Unmarried,Black,Male,24502,557,15,Philippines,<=50K
61,Self-emp-not-inc,853487,11th,15,Separated,Sales,Husband,Amer-Indian-Eskimo,Female,35757,3301,48,England,>50K
78,Self-emp-not-inc,787629,1st-4th,16,Divorced,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,41111,941,72,Japan,>50K
73,Local-gov,1350228,1st-4th,2,Divorced,Farming-fishing,Unmarried,Other,Male,98273,4023,13,United-States,<=50K
22,Local-gov,178056,Doctorate,16,Married-AF-spouse,Other-service,Other-relative,Other,Male,83245,2296,43,Japan,>50K
44,Self-emp-not-inc,654457,12th,14,Married-spouse-absent,Other-service,Not-in-family,Asian-Pac-Islander,Female,58645,939,60,India,>50K
44,Without-pay,580347,Preschool,3,Never-married,Machine-op-inspct,Other-relative,White,Female,59055,1610,57,Japan,>50K
60,Local-gov,482785,Prof-school,12,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,8998,1725,71,United-States,<=50K
46,Self-emp-inc,1052766,1st-4th,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,28906,984,17,Germany,>50K
78,State-gov,549992,9th,12,Widowed,Farming-fishing,Unmarried,White,Male,70192,1587,50,India,>50K
78,Self-emp-not-inc,998080,12th,7,Separated,Transport-moving,Other-relative,White,Male,50477,4021,32,Canada,<=50K
17,Never-worked,748744,Doctorate,9,Married-spouse-absent,Tech-support,Own-child,Amer-Indian-Eskimo,Female,36901,1336,22,Canada,<=50K
43,Local-gov,762488,Bachelors,13,Married-AF-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,91271,3137,55,India,>50K
78,Self-emp-not-inc,655567,Prof-school,2,Widowed,Priv-house-serv,Other-relative,White,Female,52021,661,57,England,>50K
19,Federal-gov,702568,11th,5,Never-married,Adm-clerical,Not-in-family,Other,Male,29092,32,13,Germany,>50K
86,Private,662804,HS-grad,13,Married-spouse-absent,Exec-managerial,Unmarried,Other,Male,1242,3414,47,India,<=50K
88,State-gov,542828,Some-college,4,Separated,Priv-house-serv,Own-child,Asian-Pac-Islander,Female,1831,1156,87,United-States,>50K
43,Self-emp-not-inc,498366,7th-8th,15,Separated,Farming-fishing,Husband,Black,Male,50721,3126,62,Cambodia,<=50K
25,Private,741384,11th,2,Married-AF-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,28511,60,54,Puerto-Rico,<=50K
78,Local-gov,977386,5th-6th,16,Married-civ-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,72782,3928,29,Japan,>50K
53,Private,439139,Some-college,9,Married-AF-spouse,Craft-repair,Not-in-family,Black,Female,97003,1543,22,Philippines,>50K
67,State-gov,539777,12th,9,Never-married,Sales,Unmarried,White,Male,18302,271,65,Germany,<=50K
60,Self-emp-not-inc,1444764,Masters,6,Married-spouse-absent,Priv-house-serv,Other-relative,Other,Male,55568,4076,29,United-States,>50K
40,Federal-gov,252549,7th-8th,11,Married-spouse-absent,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,3232,3388,48,Philippines,>50K
75,Without-pay,504965,Assoc-voc,6,Divorced,Sales,Wife,Black,Female,51507,2752,5,Canada,<=50K
48,Local-gov,810546,Preschool,8,Married-civ-spouse,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Female,76508,2709,35,India,>50K
68,Self-emp-not-inc,1002469,Preschool,6,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,10683,1154,74,Germany,<=50K
78,State-gov,56321,Assoc-acdm,1,Married-spouse-absent,Tech-support,Own-child,Other,Female,23664,4405,83,Mexico,>50K
74,Local-gov,355441,Bachelors,4,Married-spouse-absent,Prof-specialty,Husband,White,Male,33172,3853,71,Japan,<=50K
68,Self-emp-inc,1313590,Prof-school,13,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,83641,1745,46,Puerto-Rico,<=50K
28,Private,176498,1st-4th,7,Widowed,Craft-repair,Husband,Asian-Pac-Islander,Female,64340,3432,35,Canada,>50K
55,Without-pay,1086348,Masters,13,Widowed,Armed-Forces,Own-child,Black,Female,87236,337,45,India,<=50K
18,State-gov,810144,Doctorate,13,Married-civ-spouse,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,11017,9,13,Japan,<=50K
19,Self-emp-inc,414583,5th-6th,2,Divorced,Farming-fishing,Wife,Amer-Indian-Eskimo,Female,36613,4144,10,Canada,>50K
72,Never-worked,258389,Masters,9,Separated,Exec-managerial,Own-child,White,Female,86130,730,66,Mexico,>50K
75,Self-emp-not-inc,659430,11th,8,Widowed,Adm-clerical,Other-relative,Other,Female,76920,4890,70,Philippines,>50K
18,Federal-gov,1120500,Bachelors,8,Divorced,Sales,Unmarried,White,Male,30348,1648,72,Puerto-Rico,<=50K
18,Local-gov,1419872,HS-grad,7,Married-AF-spouse,Tech-support,Own-child,Asian-Pac-Islander,Male,16448,4228,25,Puerto-Rico,<=50K
70,Private,1096299,10th,4,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,9491,3654,44,Japan,<=50K
17,Local-gov,778470,Preschool,2,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,78648,2130,60,United-States,>50K
35,Without-pay,684468,Some-college,3,Married-AF-spouse,Exec-managerial,Own-child,Other,Female,96557,4471,47,Japan,<=50K
18,Self-emp-not-inc,228786,Some-college,12,Separated,Armed-Forces,Wife,Black,Male,58759,2396,40,Canada,<=50K
69,Local-gov,706684,11th,6,Never-married,Protective-serv,Wife,Other,Female,44553,4366,7,United-States,>50K
60,Private,1283008,9th,12,Never-married,Tech-support,Other-relative,Asian-Pac-Islander,Male,968,1506,46,Puerto-Rico,<=50K
48,Self-emp-not-inc,1048400,9th,12,Separated,Sales,Husband,Black,Female,368,2158,23,Cambodia,>50K
86,Local-gov,1208575,1st-4th,5,Widowed,Prof-specialty,Unmarried,Other,Female,73960,2916,83,Puerto-Rico,>50K
48,Federal-gov,900112,5th-6th,12,Married-civ-spouse,Protective-serv,Not-in-family,Other,Male,35010,4171,46,Japan,>50K
84,State-gov,378690,Assoc-voc,8,Separated,Farming-fishing,Not-in-family,Black,Female,54154,3229,86,Canada,<=50K
71,Self-emp-not-inc,959947,Assoc-acdm,6,Separated,Farming-fishing,Husband,Asian-Pac-Islander,Female,35851,3603,13,United-States,<=50K
72,State-gov,99973,7th-8th,6,Separated,Armed-Forces,Wife,Other,Female,25496,1666,21,India,<=50K
33,Never-worked,654122,HS-grad,1,Never-married,Sales,Wife,Black,Female,30936,4424,1,United-States,>50K
54,Self-emp-not-inc,1068173,1st-4th,4,Divorced,Armed-Forces,Own-child,Asian-Pac-Islander,Male,78858,4136,19,Mexico,>50K
40,Federal-gov,307681,Bachelors,5,Married-AF-spouse,Adm-clerical,Other-relative,Black,Female,67005,2969,60,England,>50K
85,State-gov,514509,9th,12,Married-civ-spouse,Exec-managerial,Unmarried,Black,Male,37493,2689,33,England,<=50K
86,Self-emp-inc,245049,Assoc-voc,11,Widowed,Machine-op-inspct,Other-relative,Other,Male,69795,2326,4,Germany,<=50K
27,Private,1337191,Assoc-voc,3,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,36390,2810,3,Philippines,<=50K
32,Self-emp-inc,186703,Preschool,13,Married-AF-spouse,Farming-fishing,Own-child,Other,Male,10292,2516,91,Germany,<=50K
89,Local-gov,784357,5th-6th,9,Divorced,Exec-managerial,Other-relative,White,Female,92377,3471,52,Germany,<=50K
75,Federal-gov,767419,11th,1,Separated,Prof-specialty,Husband,White,Female,28365,12,28,United-States,>50K
86,Self-emp-inc,1099924,HS-grad,6,Married-civ-spouse,Tech-support,Own-child,Asian-Pac-Islander,Male,17207,2970,70,Canada,<=50K
19,Self-emp-not-inc,1264380,12th,6,Widowed,Transport-moving,Husband,Black,Female,22912,3621,70,Germany,>50K
36,Local-gov,155832,7th-8th,10,Married-AF-spouse,Priv-house-serv,Own-child,Other,Male,80771,3683,55,Japan,>50K
75,Local-gov,1363499,5th-6th,5,Married-spouse-absent,Handlers-cleaners,Other-relative,Other,Female,56572,3473,57,United-States,<=50K
52,Self-emp-inc,303780,Assoc-acdm,12,Married-AF-spouse,Sales,Husband,Asian-Pac-Islander,Female,99083,3122,87,Canada,>50K
35,Never-worked,1122127,5th-6th,15,Widowed,Transport-moving,Husband,Asian-Pac-Islander,Female,19276,3464,97,England,<=50K
83,Self-emp-inc,424772,5th-6th,5,Separated,Craft-repair,Husband,White,Male,97459,652,16,Cambodia,<=50K
35,Never-worked,591107,Prof-school,10,Married-spouse-absent,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,5534,620,24,Japan,>50K
36,Federal-gov,1404490,11th,14,Divorced,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,92005,3790,69,India,<=50K
87,Private,1028559,7th-8th,13,Married-civ-spouse,Other-service,Other-relative,Amer-Indian-Eskimo,Male,35670,1645,41,Philippines,<=50K
68,Self-emp-inc,440182,Prof-school,5,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Male,62147,2243,77,India,>50K
49,Without-pay,1281357,Prof-school,6,Divorced,Machine-op-inspct,Unmarried,Black,Female,98099,4512,47,Canada,>50K
56,Never-worked,702347,Doctorate,8,Married-AF-spouse,Handlers-cleaners,Not-in-family,Black,Male,36486,4759,76,Mexico,>50K
55,Self-emp-inc,1042378,HS-grad,2,Married-civ-spouse,Other-service,Unmarried,White,Female,65557,3491,69,Canada,>50K
17,State-gov,733708,Doctorate,6,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,34268,3711,31,Cambodia,>50K
27,Self-emp-not-inc,568884,HS-grad,1,Widowed,Craft-repair,Other-relative,Amer-Indian-Eskimo,Female,81335,3688,92,England,>50K
73,Without-pay,870538,1st-4th,4,Widowed,Farming-fishing,Husband,Asian-Pac-Islander,Male,26336,1379,92,Puerto-Rico,<=50K
66,Without-pay,1045014,Bachelors,14,Married-civ-spouse,Adm-clerical,Husband,Other,Female,3641,4243,30,Canada,<=50K
39,Never-worked,1007471,Assoc-voc,10,Married-spouse-absent,Sales,Own-child,White,Female,87132,2045,18,England,<=50K
47,State-gov,79182,7th-8th,3,Never-married,Tech-support,Not-in-family,Other,Male,32959,3048,44,India,>50K
58,State-gov,369307,11th,9,Widowed,Machine-op-inspct,Not-in-family,Other,Male,13306,1388,27,Canada,<=50K
23,Local-gov,321454,1st-4th,3,Never-married,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,46182,401,26,Canada,>50K
32,Never-worked,1386808,10th,15,Married-AF-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Male,74123,2653,60,Germany,<=50K
